date,from_currency,to_currency,rate
2026-04-02,USD,IDR,17011
2026-04-07,USD,IDR,17070
2026-04-08,USD,IDR,16976
2026-04-09,USD,IDR,17097
2026-04-10,USD,IDR,17095
2026-04-13,USD,IDR,17188
2026-04-14,USD,IDR,17131
2026-04-15,USD,IDR,17154
2026-04-16,USD,IDR,17140
2026-04-17,USD,IDR,17180
2026-04-20,USD,IDR,17129
2026-04-21,USD,IDR,17128
2026-04-22,USD,IDR,17199
2026-04-23,USD,IDR,17276
2026-04-24,USD,IDR,17244
2026-04-27,USD,IDR,17209
2026-04-28,USD,IDR,17284
2026-04-29,USD,IDR,17348
2026-04-30,USD,IDR,17346
2026-05-04,USD,IDR,17409
2026-05-05,USD,IDR,17453
2026-05-06,USD,IDR,17328
2026-05-07,USD,IDR,17298
2026-05-08,USD,IDR,17366
2026-05-11,USD,IDR,17425
2026-05-12,USD,IDR,17497
2026-05-13,USD,IDR,17496
2026-05-14,USD,IDR,17465
2026-05-15,USD,IDR,17589
2026-05-18,USD,IDR,17683
2026-05-19,USD,IDR,17743
2026-05-20,USD,IDR,17701
2026-05-21,USD,IDR,17677
2026-05-22,USD,IDR,17695
2026-05-25,USD,IDR,17734
2026-05-26,USD,IDR,17835
2026-05-27,USD,IDR,17837
2026-05-28,USD,IDR,17851
2026-05-29,USD,IDR,17816
2026-06-01,USD,IDR,17835
2026-06-02,USD,IDR,17827
2026-06-03,USD,IDR,17962
2026-06-04,USD,IDR,18026
2026-06-05,USD,IDR,18070
2026-06-08,USD,IDR,18151
2026-06-09,USD,IDR,17950
2026-06-10,USD,IDR,17910
2026-06-11,USD,IDR,17974
2026-06-12,USD,IDR,17788
2026-06-15,USD,IDR,17719
2026-06-16,USD,IDR,17721
2026-06-17,USD,IDR,17803
2026-06-18,USD,IDR,17875
2026-06-19,USD,IDR,17808
2026-06-22,USD,IDR,17838
2026-06-23,USD,IDR,17921
2026-06-24,USD,IDR,17977
2026-06-25,USD,IDR,17982
2026-06-26,USD,IDR,17859
2026-06-29,USD,IDR,17853
2026-06-30,USD,IDR,17903
2026-07-01,USD,IDR,17961
2026-07-02,USD,IDR,18021
2026-07-03,USD,IDR,17964
